feature_set,sampling_file,training_set,model,grid_row,step,estimate_LogLoss,estimate_MSE,estimate_R2_Score,estimate_AUC,ci_lower_LogLoss,ci_lower_MSE,ci_lower_R2_Score,ci_lower_AUC,ci_upper_LogLoss,ci_upper_MSE,ci_upper_R2_Score,ci_upper_AUC,evaluation_set,estimate_F1_Score,ci_lower_F1_Score,ci_upper_F1_Score,threshold_F1_Score,selection_set
FS_childcare,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.366876060312187,0.110675158427014,0.105402110903153,0.737561286387309,0.365000720963049,0.10999533128608,0.102804879508518,0.735512430070072,0.368623721703013,0.111300107109914,0.107804478931621,0.739705612105756,evaluation_set,0.400391213767509,0.396289922013581,0.403315973148445,0.18505693362356,evaluation_set
FS_childcare,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_1000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.332593149857359,0.0985327180389616,0.2035506177047,0.804008052749902,0.330644308672498,0.097884454762888,0.199684662002529,0.80179513729453,0.334614703709589,0.099176166282695,0.206778343908912,0.805934203537308,evaluation_set,0.501127945392889,0.497838272359369,0.503819059143393,0.202424964843332,evaluation_set
FS_childcare,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_10000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.308565097545218,0.0932368007070182,0.246358023931386,0.839972631360852,0.306717322772341,0.0926247841627328,0.242868148954713,0.838135228489836,0.310543417495368,0.0938762878986075,0.249352789986782,0.841634548316443,evaluation_set,0.523486839072512,0.520362317794569,0.526645796713868,0.270858887839305,evaluation_set
FS_childcare,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.296958414293161,0.0898746708716639,0.27353444090088,0.854307062825511,0.295254544398418,0.0892818502917849,0.270160492071319,0.852345569626031,0.298516877403514,0.0904223265219328,0.276821169878776,0.855660807971514,evaluation_set,0.542024940350245,0.538748070586081,0.544769951446341,0.270188316786431,evaluation_set
FS_childcare,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_1000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.291537758910647,0.0883604863455162,0.285773739222628,0.860930072688955,0.289803864225757,0.0877436151568326,0.282618121134892,0.859068300844492,0.29321469363191,0.0889316085159025,0.288720646023013,0.862267694523393,evaluation_set,0.55038314319184,0.546884465258758,0.553821871448404,0.270041406450995,evaluation_set
FS_childcare,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_2000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.291011304096172,0.0882363846454504,0.286776865131731,0.861529526814375,0.289365263775314,0.0876774916037222,0.283301282121992,0.859617986906705,0.292702152404947,0.0887823723983571,0.289955591570347,0.86282408000572,evaluation_set,0.550442155717688,0.546785320539925,0.553753441334397,0.280059549500327,evaluation_set
FS_childcare,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_3000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.290631713998178,0.0881611414460526,0.287385063107743,0.862090874782904,0.288985164558003,0.0875584940298957,0.284346368049198,0.860373931225316,0.292400977715739,0.088739304729459,0.290556970263113,0.863406771573797,evaluation_set,0.550722098100203,0.54755320161903,0.553780282221228,0.260015669564247,evaluation_set
FS_childcare,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_500,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.353822190334783,0.104369162838731,0.156374076266564,0.774974094844401,0.351646288768382,0.103605933940377,0.153186521980142,0.772577417963575,0.356029445314866,0.105030421095522,0.158761129783826,0.776962773852541,evaluation_set,0.462550584405308,0.45949379358051,0.464936857613874,0.204131060901251,evaluation_set
FS_childcare,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_5000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.315683747435882,0.0952473331303112,0.230106698092762,0.830348248218671,0.313929001471023,0.0946116987485643,0.226784985148497,0.828693656751248,0.317597608147159,0.095898056091703,0.233653709288547,0.83194887455653,evaluation_set,0.515046534159303,0.511718329415837,0.517877982827761,0.232296486075313,evaluation_set
FS_childcare,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_50000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.299583645370136,0.0905558877811906,0.26802809947846,0.850920290127739,0.298002910797337,0.0900048065489339,0.264459672494609,0.848958089185057,0.301225585174041,0.0911492888885477,0.271378977942177,0.852439139031406,evaluation_set,0.53866880441802,0.535292906357605,0.541357647301962,0.260409323580016,evaluation_set
